algorithm,condition,evaluations,event_id,seconds,seed_index
NSGA-II,normal,4000,P08,19.609277799725533,7
NSGA-II,normal,4000,P08,19.649876200128347,8
NSGA-II,normal,4000,P08,19.88465190026909,9
SPEA2,normal,4000,P08,46.77812869986519,0
SPEA2,normal,4000,P08,46.17759949993342,1
SPEA2,normal,4000,P08,46.32148770010099,2
SPEA2,normal,4000,P08,46.09411979978904,3
SPEA2,normal,4000,P08,45.933888900093734,4
SPEA2,normal,4000,P08,47.84386169956997,5
SPEA2,normal,4000,P08,48.48856890015304,6
SPEA2,normal,4000,P08,48.38710819976404,7
SPEA2,normal,4000,P08,47.06308609992266,8
SPEA2,normal,4000,P08,47.24045230029151,9
